Doctor Group Average Report (X-all only)
============================================================================================

[group_1_doctor1_5]
Sub-category        Samples    Accuracy   Specificity   Precision    Recall        F1
A-all                 600       78.07%         92.69%       78.33%     78.07%     78.15%
DR-all                600       73.00%         91.00%       73.09%     73.00%     72.60%
H-all                 450       82.00%         91.00%       82.44%     82.00%     81.81%
IM-all                600       81.00%         93.67%       80.99%     81.00%     80.83%
N-all                 450       91.78%         95.89%       91.81%     91.78%     91.75%
overall              2700       80.53%         92.78%       80.69%     80.53%     80.39%

[group_2_doctor6_10]
Sub-category        Samples    Accuracy   Specificity   Precision    Recall        F1
A-all                 600       68.90%         89.63%       69.28%     68.90%     69.01%
DR-all                600       64.93%         88.31%       64.37%     64.93%     63.89%
H-all                 450       78.09%         89.04%       78.43%     78.09%     77.72%
IM-all                600       65.97%         88.66%       65.61%     65.97%     65.02%
N-all                 450       86.89%         93.44%       87.10%     86.89%     86.83%
overall              2700       71.90%         89.66%       71.87%     71.90%     71.41%

[groups_3]
Sub-category        Samples    Accuracy   Specificity   Precision    Recall        F1
A-all                 600       73.48%         91.16%       73.81%     73.48%     73.58%
DR-all                600       68.97%         89.66%       68.73%     68.97%     68.25%
H-all                 450       80.04%         90.02%       80.44%     80.04%     79.76%
IM-all                600       73.48%         91.16%       73.30%     73.48%     72.93%
N-all                 450       89.33%         94.67%       89.46%     89.33%     89.29%
overall              2700       76.21%         91.22%       76.28%     76.21%     75.90%

