Two-sided McNemar P-values: Gemini vs DLKGs
========================================================================================
Subgroup       Samples     n01     n10           P-value
A/A-0              221       7       5      7.728300e-01
A/A-1              207      50      36      1.609672e-01
A/A-2              113       8      14      2.864220e-01
A/NA               271      61      60      1.000000e+00
DR/DR-0             29       3       1      6.170751e-01
DR/DR-1             82      24      17      3.487367e-01
DR/DR-2            116      32      25      4.267767e-01
DR/NA              114       1      30      4.931769e-07
H/H-0              114      14      24      1.442921e-01
H/H-1              118      36      10      2.277626e-04
H/NA               116       1       0      1.000000e+00
IM/IM-0            197      30      37      4.635483e-01
IM/IM-1             41      16       2      2.183045e-03
IM/IM-2             22       1       2      1.000000e+00
IM/NA              130      27      20      3.814706e-01
N/N-0              193      19      25      4.509823e-01
N/N-1               25       5       2      4.496918e-01
N/NA               109       3       2      1.000000e+00
