Two-sided McNemar P-values: each model vs result_DLKGS
==============================================================================================================

[result_gemini vs result_DLKGS]
Subgroup     Samples     n01     n10           P-value
A_A0             150       3       0      2.482131e-01
A_A1             150      12      46      1.470161e-05
A_A2             150      61      13      4.664716e-08
A_NO             150      31       1      2.951402e-07
DR_DR0           150      10      40      4.109788e-05
DR_DR1           150      70      21      4.859791e-07
DR_DR2           150      16      31      4.114063e-02
DR_NO            150       0       0      1.000000e+00
H_H0             150      24       1      1.082509e-05
H_H1             150      64       1      1.469586e-14
H_NO             150       1       0      1.000000e+00
IM_IM0           150      30       8      6.576544e-04
IM_IM1           150      10      52      1.919127e-07
IM_IM2           150      49      13      8.789005e-06
IM_NO            150       7       4      5.464936e-01
N_N0             150       6       1      1.305700e-01
N_N1             150      17       3      3.650434e-03
N_NO             150       0       1      1.000000e+00
overall         2700     411     236      7.883693e-12

[result_claude vs result_DLKGS]
Subgroup     Samples     n01     n10           P-value
A_A0             150       3       0      2.482131e-01
A_A1             150       9      57      7.238300e-09
A_A2             150      68      25      1.329472e-05
A_NO             150      29      10      3.947752e-03
DR_DR0           150      10      48      1.183752e-06
DR_DR1           150      39      34      6.396669e-01
DR_DR2           150      15      32      1.960411e-02
DR_NO            150       0      15      3.005976e-04
H_H0             150      18      15      7.277235e-01
H_H1             150      46      29      6.467169e-02
H_NO             150       1       3      6.170751e-01
IM_IM0           150      23      28      5.754030e-01
IM_IM1           150       8      54      1.097003e-08
IM_IM2           150      43      22      1.311266e-02
IM_NO            150       5      13      9.896015e-02
N_N0             150       6       0      4.122683e-02
N_N1             150      15      75      4.998678e-10
N_NO             150       0      16      1.768346e-04
overall         2700     338     476      1.572084e-06

[result_gpt vs result_DLKGS]
Subgroup     Samples     n01     n10           P-value
A_A0             150       2      16      2.183045e-03
A_A1             150       9      64      2.611879e-10
A_A2             150      55      23      4.480076e-04
A_NO             150      29       8      1.009091e-03
DR_DR0           150       7      61      1.299808e-10
DR_DR1           150      37      38      1.000000e+00
DR_DR2           150      11      55      1.203693e-07
DR_NO            150       0      26      9.443044e-07
H_H0             150       9      52      7.550669e-08
H_H1             150      44      20      4.040275e-03
H_NO             150       1       5      2.206714e-01
IM_IM0           150      19      34      5.447404e-02
IM_IM1           150       8      78      1.003343e-13
IM_IM2           150      32      44      2.070256e-01
IM_NO            150       6      18      2.474467e-02
N_N0             150       5       1      2.206714e-01
N_N1             150      16      40      2.115607e-03
N_NO             150       0       0      1.000000e+00
overall         2700     290     583      4.948006e-23

[result_grok vs result_DLKGS]
Subgroup     Samples     n01     n10           P-value
A_A0             150       3       0      2.482131e-01
A_A1             150       9      76      8.144267e-13
A_A2             150      65      13      7.713021e-09
A_NO             150      18      18      8.676323e-01
DR_DR0           150       9      79      1.903210e-13
DR_DR1           150      29      42      1.544065e-01
DR_DR2           150      14      57      6.212772e-07
DR_NO            150       0      50      4.218937e-12
H_H0             150      10      64      7.223001e-10
H_H1             150      44      25      3.023902e-02
H_NO             150       1       2      1.000000e+00
IM_IM0           150      22      28      4.795001e-01
IM_IM1           150       8      78      1.003343e-13
IM_IM2           150      31      47      8.942936e-02
IM_NO            150       6      27      4.985149e-04
N_N0             150       4      40      1.317115e-07
N_N1             150      16      63      2.274179e-07
N_NO             150       0      37      3.251606e-09
overall         2700     289     746      1.325822e-45

